Date,Price,Month,Year,Real_GDP,CPI,inflation_rate,PALLFNFINDEXM
2000-01-04,0.848,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-05,0.8565,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-06,0.853,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-07,0.854,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-10,0.8465,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-11,0.8435,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-12,0.866,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-13,0.8565,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-14,0.8625,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-18,0.866,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-19,0.8825,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-20,0.873,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-21,0.873,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-24,0.8565,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-25,0.8425,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-26,0.8415,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-27,0.8445,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-28,0.84,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-01-31,0.8545,1,2000,14096.033,165.6,3.37685727149935,59.47
2000-02-01,0.848,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-02,0.8275,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-03,0.8305,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-04,0.8325,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-07,0.8325,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-08,0.8255,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-09,0.8275,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-10,0.8545,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-11,0.85,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-14,0.849,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-15,0.832,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-16,0.833,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-17,0.8415,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-18,0.837,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-22,0.833,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-23,0.845,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-24,0.8405,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-25,0.8215,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-28,0.794,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-02-29,0.798,2,2000,14096.033,169.8,3.37685727149935,58.06
2000-03-01,0.803,3,2000,14096.033,171.2,3.37685727149935,58.51
2000-03-02,0.797,3,2000,14096.033,171.2,3.37685727149935,58.51
2000-03-03,0.803,3,2000,14096.033,171.2,3.37685727149935,58.51
2000-03-06,0.8045,3,2000,14096.033,171.2,3.37685727149935,58.51
2000-03-07,0.7945,3,2000,14096.033,171.2,3.37685727149935,58.51
2000-03-08,0.7895,3,2000,14096.033,171.2,3.37685727149935,58.51
2000-03-09,0.799,3,2000,14096.033,171.2,3.37685727149935,58.51
